year,month,RiceInflation,Contri
2016,June,-2.1,-0.186247452
2016,July,-2.2,-0.195116378
2016,August,-1.5,-0.133033894
2016,September,-1.3,-0.115296042
2016,October,-0.4,-0.035475705
2016,November,0,0
2016,December,-0.1,-0.008868926
2017,January,1,0.088689263
2017,February,1.6,0.141902821
2017,March,1.6,0.141902821
2017,April,1.6,0.141902821
2017,May,1.5,0.133033894
2017,June,2,0.177378526
2017,July,2.1,0.186247452
2017,August,2.2,0.195116378
2017,September,2.4,0.212854231
2017,October,2.5,0.221723157
2017,November,3.1,0.274936715
2017,December,3.4,0.301543494
2018,January,2.7,0.23946101
2018,February,2.2,0.195116378
2018,March,2.6,0.230592084
2018,April,2.9,0.257198862
2018,May,3.4,0.301543494
2018,June,3.6,0.319281346
2018,July,4.2,0.372494904
2018,August,8.7,0.771596587
2018,September,17.9,1.587537806
2018,October,13.2,1.17069827
2018,November,15.8,1.401290354
2018,December,19.6,1.738309553
2019,January,22.6,2.004377342
2019,February,23.7,2.101935531
2019,March,24.4,2.164018015
2019,April,23.9,2.119673383
2019,May,23,2.039853047
2019,June,22.5,1.995508415
2019,July,20.9,1.853605595
2019,August,14.7,1.303732165
2019,September,5.7,0.505528799
2019,October,9.6,0.851416924
2019,November,5.1,0.452315241
2019,December,0.8,0.07095141
2020,January,,
2020,February,,
2020,March,,
2020,April,,
2020,May,,
2020,June,,
2020,July,,
2020,August,,
2020,September,,
2020,October,,
2020,November,,
2020,December,,
2021,January,,
2021,February,,
2021,March,,
2021,April,,
2021,May,,
2021,June,,
2021,July,,
2021,August,,
2021,September,,
2021,October,,
2021,November,,
2021,December,,
2022,January,,
2022,February,,
2022,March,,
2022,April,,
2022,May,,
2022,June,,
2022,July,,
2022,August,,
2022,September,,
2022,October,,
2022,November,,
2022,December,,
2023,January,,
2023,February,,
2023,March,,
2023,April,,
2023,May,,
2023,June,,
2023,July,,
2023,August,,
2023,September,,
2023,October,,
2023,November,,
2023,December,,
2024,January,,
2024,February,,
2024,March,,
2024,April,,
2024,May,,
2024,June,,
2024,July,,
2024,August,,
2024,September,,
2024,October,,
2024,November,,
2024,December,,
